case_name,scenario_id,mode,case_folder,start_time,end_time,runtime_s,status,error_message,output_dir
VRE120_wind_hvy,6,ED,RAChronoOps_VRE120_wind_hvy_s006_ED,2026-05-31 11:31:20,2026-05-31 11:33:26,125.87299990653992,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s006_ED/output
VRE120_wind_hvy,7,ED,RAChronoOps_VRE120_wind_hvy_s007_ED,2026-05-31 11:33:28,2026-05-31 11:35:28,119.70499992370605,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s007_ED/output
VRE120_wind_hvy,8,ED,RAChronoOps_VRE120_wind_hvy_s008_ED,2026-05-31 11:35:28,2026-05-31 11:37:27,118.9520001411438,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s008_ED/output
VRE120_wind_hvy,9,ED,RAChronoOps_VRE120_wind_hvy_s009_ED,2026-05-31 11:37:27,2026-05-31 11:39:27,120.20299983024597,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s009_ED/output
VRE120_wind_hvy,10,ED,RAChronoOps_VRE120_wind_hvy_s010_ED,2026-05-31 11:39:27,2026-05-31 11:41:26,118.78399991989136,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s010_ED/output
VRE120_wind_hvy,11,ED,RAChronoOps_VRE120_wind_hvy_s011_ED,2026-05-31 11:41:26,2026-05-31 11:43:19,113.08200001716614,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s011_ED/output
VRE120_wind_hvy,12,ED,RAChronoOps_VRE120_wind_hvy_s012_ED,2026-05-31 11:43:19,2026-05-31 11:45:18,119.4190001487732,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s012_ED/output
VRE120_wind_hvy,13,ED,RAChronoOps_VRE120_wind_hvy_s013_ED,2026-05-31 11:45:18,2026-05-31 11:47:18,120.07599997520447,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s013_ED/output
VRE120_wind_hvy,14,ED,RAChronoOps_VRE120_wind_hvy_s014_ED,2026-05-31 11:47:18,2026-05-31 11:49:17,118.99399995803833,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s014_ED/output
VRE120_wind_hvy,15,ED,RAChronoOps_VRE120_wind_hvy_s015_ED,2026-05-31 11:49:17,2026-05-31 11:51:16,119.11500000953674,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s015_ED/output
VRE120_wind_hvy,16,ED,RAChronoOps_VRE120_wind_hvy_s016_ED,2026-05-31 11:51:16,2026-05-31 11:53:16,119.84599995613098,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s016_ED/output
VRE120_wind_hvy,17,ED,RAChronoOps_VRE120_wind_hvy_s017_ED,2026-05-31 11:53:16,2026-05-31 11:55:15,118.86199998855591,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s017_ED/output
VRE120_wind_hvy,18,ED,RAChronoOps_VRE120_wind_hvy_s018_ED,2026-05-31 11:55:15,2026-05-31 11:57:14,119.45499992370605,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s018_ED/output
VRE120_wind_hvy,19,ED,RAChronoOps_VRE120_wind_hvy_s019_ED,2026-05-31 11:57:14,2026-05-31 11:59:15,120.36100006103516,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s019_ED/output
VRE120_wind_hvy,20,ED,RAChronoOps_VRE120_wind_hvy_s020_ED,2026-05-31 11:59:15,2026-05-31 12:01:13,117.79900002479553,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s020_ED/output
VRE120_wind_hvy,6,UC,RAChronoOps_VRE120_wind_hvy_s006_UC,2026-05-31 12:01:13,2026-05-31 12:57:49,3396.3179998397827,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s006_UC/output
VRE120_wind_hvy,7,UC,RAChronoOps_VRE120_wind_hvy_s007_UC,2026-05-31 12:57:49,2026-05-31 13:43:18,2728.8430001735687,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s007_UC/output
VRE120_wind_hvy,8,UC,RAChronoOps_VRE120_wind_hvy_s008_UC,2026-05-31 13:43:18,2026-05-31 14:51:56,4118.3550000190735,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s008_UC/output
VRE120_wind_hvy,9,UC,RAChronoOps_VRE120_wind_hvy_s009_UC,2026-05-31 14:51:56,2026-05-31 15:51:02,3545.837000131607,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s009_UC/output
VRE120_wind_hvy,10,UC,RAChronoOps_VRE120_wind_hvy_s010_UC,2026-05-31 15:51:02,2026-05-31 16:43:40,3157.6009998321533,OK,,D:/MIT Dropbox/Shen Wang/MIT/RA/RA_assessment/RAChronoOps/exports/hope_model_cases/RAChronoOps_VRE120_wind_hvy_s010_UC/output
