case,n_scenarios,model_internal,model_paper_name,model_short_label,benchmark,abs_eue_error_mwh,abs_lolh_error_h,mean_runtime_s,speedup_vs_benchmark
VRE120_base,20,HOPE-ED,PCM Economic Dispatch,PCM-ED,HOPE-UC,0.0,1.0,117.78,4.9
VRE120_base,20,HOPE-UC,PCM Unit-Commitment Economic Dispatch,PCM-UCED,HOPE-UC,0.0,0.0,571.92,1.0
VRE120_base,20,M1,Naive Storage Monte Carlo,Naive Storage MC,M3,28537.97,89.45,0.06,148.5
VRE120_base,20,M1b,Reserve-Floor Storage Monte Carlo,Reserve-Floor MC,M3,25793.24,77.6,0.05,210.2
VRE120_base,20,M1c,Emergency-Only Storage Monte Carlo,Emergency-Only MC,M3,0.0,0.0,0.05,207.3
VRE120_base,20,M1d_earliest,Risk-Hour-Earliest Monte Carlo,Risk-Hour-Earliest MC,M3,0.0,0.0,0.05,185.5
VRE120_base,20,M1d_largest,Risk-Hour-Largest Monte Carlo,Risk-Hour-Largest MC,M3,0.0,2.5,0.06,152.8
VRE120_base,20,M2,Event-Window LP Monte Carlo,Event-Window LP-MC,M3,0.0,0.2,0.44,21.4
VRE120_base,20,M3,Full-Year ED Monte Carlo,Full-Year ED-MC,M3,0.0,0.0,9.52,1.0
VRE120_wind_hvy,5,HOPE-ED,PCM Economic Dispatch,PCM-ED,HOPE-UC,0.0,0.4,117.51,4.6
VRE120_wind_hvy,5,HOPE-UC,PCM Unit-Commitment Economic Dispatch,PCM-UCED,HOPE-UC,0.0,0.0,542.44,1.0
VRE120_wind_hvy,3,M1,Naive Storage Monte Carlo,Naive Storage MC,M3,17256.88,58.75,0.03,276.6
VRE120_wind_hvy,3,M1b,Reserve-Floor Storage Monte Carlo,Reserve-Floor MC,M3,10708.27,30.08,0.03,276.6
VRE120_wind_hvy,20,M1c,Emergency-Only Storage Monte Carlo,Emergency-Only MC,M3,0.0,0.0,0.07,130.6
VRE120_wind_hvy,20,M1d_earliest,Risk-Hour-Earliest Monte Carlo,Risk-Hour-Earliest MC,M3,0.0,0.0,0.11,80.5
VRE120_wind_hvy,20,M1d_largest,Risk-Hour-Largest Monte Carlo,Risk-Hour-Largest MC,M3,0.0,0.4,0.05,171.7
VRE120_wind_hvy,20,M2,Event-Window LP Monte Carlo,Event-Window LP-MC,M3,0.0,0.3,0.38,24.1
VRE120_wind_hvy,20,M3,Full-Year ED Monte Carlo,Full-Year ED-MC,M3,0.0,0.0,9.22,1.0
