case,n_scenarios,model_internal,method_label,lolh_h,eue_mwh,neue_ppm,cvar_eue_mwh,runtime_s_per_scen,marginal_cc_rerun_delta1mw,events_per_yr,mean_event_duration_h,max_event_duration_h,max_hourly_shortfall_mw,data_source,notes
VRE120_wind_hvy,20,M1,Naive storage MCS,52.4,15801.11,350.56,26871.07,0.06,,,,,,paper_storage_method_comparison.csv,N=20 baseline; CC not computed at N=20 wind-heavy
VRE120_wind_hvy,20,M1b,SOC-floor storage MCS,25.0,8982.38,199.28,20155.20,0.05,,,,,,paper_storage_method_comparison.csv,N=20 baseline; CC not computed at N=20 wind-heavy
VRE120_wind_hvy,20,M1c,Emergency-only storage MCS,2.25,648.24,14.38,3528.39,0.07,,0.85,2.65,6.0,,paper_storage_method_comparison.csv + m1c_diagnostics/base-bal15-wind_hvy_n20/,Event shape from M1c diagnostics; max_shortfall not in diagnostics file; CC not computed at N=20
VRE120_wind_hvy,20,M1d_earliest,Risk-hour-earliest MCS,2.25,648.24,14.38,3528.39,0.11,,,,,,paper_storage_method_comparison.csv,N=20; CC and event shape not computed
VRE120_wind_hvy,20,M1d_largest,Risk-hour-largest MCS,2.65,648.24,14.38,3528.39,0.05,,,,,,paper_storage_method_comparison.csv,N=20; CC and event shape not computed
VRE120_wind_hvy,20,M2,Event-window storage MCS,1.95,648.24,14.38,3528.39,0.38,,,,,,paper_storage_method_comparison.csv,N=20; CC not computed at N=20 wind-heavy; event shape not computed
VRE120_wind_hvy,20,M3,Full-year ED,2.25,648.24,14.38,3528.39,9.22,,0.85,2.65,6.0,,paper_storage_method_comparison.csv + m1c_diagnostics/base-bal15-wind_hvy_n20/,M3 events identical to M1c (same LP dispatch); CC not computed at N=20
VRE120_wind_hvy,5,M1,Naive storage MCS,67.2,21202.40,470.40,28366.46,0.06,0.00000,23.8,2.82,7.0,1034.55,m1c_comparison/base-bal15-wind_hvy_n5/m1c_comparison_results.csv + marginal_cc_all_methods_rerun.csv,CC=0.0: storage never dispatched; always-available generator dominates denominator
VRE120_wind_hvy,5,M1b,SOC-floor storage MCS,36.4,13798.61,306.13,20642.74,0.06,0.10153,11.4,3.19,7.0,1034.33,m1c_comparison/base-bal15-wind_hvy_n5/m1c_comparison_results.csv + marginal_cc_all_methods_rerun.csv,Partial CC: storage seldom optimal to dispatch
VRE120_wind_hvy,5,M1c,Emergency-only storage MCS,4.4,1113.18,24.70,2792.63,0.12,0.62850,1.8,2.44,5.0,416.69,wind_hvy_hope_uc_comparison/n5/all_model_aggregate_metrics.csv + marginal_cc_all_methods_rerun.csv,Primary MCS benchmark at N=5
VRE120_wind_hvy,5,M2,Event-window storage MCS,3.8,1113.18,24.70,2792.63,0.51,0.62850,2.2,1.73,3.0,508.75,wind_hvy_hope_uc_comparison/n5/all_model_aggregate_metrics.csv + marginal_cc_all_methods_rerun.csv,Event-shape differs from M1c/M3; same EUE/CC
VRE120_wind_hvy,5,M3,Full-year ED,4.4,1113.18,24.70,2792.63,8.86,0.62850,1.8,2.44,5.0,416.69,wind_hvy_hope_uc_comparison/n5/all_model_aggregate_metrics.csv + marginal_cc_model_rerun_validation.csv,Reference method at N=5
VRE120_wind_hvy,5,HOPE-ED,PCM-ED (cross-check),3.8,1113.18,24.70,2792.63,117.51,0.62850,2.4,1.58,3.0,1123.65,wind_hvy_hope_uc_comparison/n5/all_model_aggregate_metrics.csv + marginal_cc_model_rerun_validation.csv + event_shape_summary.csv,SUPERSEDED by N=20 run; kept for sampling comparison
VRE120_wind_hvy,5,HOPE-UC,PCM-UCED,4.2,1113.18,24.70,2792.63,542.44,0.62850,2.0,2.10,5.0,947.41,wind_hvy_hope_uc_comparison/n5/all_model_aggregate_metrics.csv + pcm_uced_marginal_cc.csv + event_shape_summary.csv,SUPERSEDED by N=20 run; kept for sampling comparison; CC via fixed-UC LP
VRE120_wind_hvy,20,HOPE-ED,PCM-ED (cross-check),1.95,648.24,14.38,3528.39,118.90,0.62850,1.25,0.65,,1462.20,wind_hvy_hope_uc_comparison/n20/all_model_aggregate_metrics.csv + marginal_cc_model_rerun_validation.csv (N=5 CC),EUE exactly matches M1c/M2/M3 N=20; max_shortfall much higher than MCS due to no explicit storage dispatch; max_dur from HOPE not available
VRE120_wind_hvy,20,HOPE-UC,PCM-UCED,2.65,660.30,14.65,3624.39,2819.95,,1.55,0.98,,1462.20,wind_hvy_hope_uc_comparison/n20/all_model_aggregate_metrics.csv,EUE 1.85% above M1c/M3; LOLH 18% higher due to UC commitment cycling; runtime ~2820s/scen (harder MILP instances than N=5); CC not recomputed at N=20
