case_folder,case_name,scenario_id,mode,n_hours,n_generators,n_thermal,n_wind,n_solar,peak_load_mw,annual_load_gwh,thermal_capacity_mw,wind_capacity_mw,solar_capacity_mw,storage_power_mw,storage_energy_mwh,max_load_profile_pu,reconstructed_load_error_max_mw,availability_rows,availability_cols,status
RAChronoOps_VRE120_wind_hvy_s001_ED,VRE120_wind_hvy,1,ED,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s001_UC,VRE120_wind_hvy,1,UC,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s002_ED,VRE120_wind_hvy,2,ED,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s002_UC,VRE120_wind_hvy,2,UC,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s003_ED,VRE120_wind_hvy,3,ED,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s003_UC,VRE120_wind_hvy,3,UC,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s004_ED,VRE120_wind_hvy,4,ED,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s004_UC,VRE120_wind_hvy,4,UC,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s005_ED,VRE120_wind_hvy,5,ED,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
RAChronoOps_VRE120_wind_hvy_s005_UC,VRE120_wind_hvy,5,UC,8760,75,73,1,1,9830.2031484,45073.588448893315,8076.0,7523.700000000001,2715.9,983.0,3932.0,1.0,9.094947017729282e-13,8760,75,OK
